frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
4,5.0,[2196.699755162566 1171.5289903927855 2784.997840860457 1751.7258330714594],[2391.31298828125 1545.0673828125 2593.84521484375 1658.14306640625],0.2952544093132019,NU51VSU,0.28874772237010937
5,3.0,[746.8353515258276 1383.4213047514595 1431.3384585915192 2007.0068064554393],[949.3771362304688 1771.8824462890625 1192.4788818359375 1892.5152587890625],0.41887420415878296,NA13NRU,0.5818815980804599
6,5.0,[2192.9394124184887 1176.756848662903 2788.933676672817 1758.4378165221956],[2407.517578125 1549.1934814453125 2593.437744140625 1654.1839599609375],0.4220127761363983,HU51KSU,0.13727277106614238
7,5.0,[2192.0449033370737 1177.3984932629278 2788.4125646325606 1759.2666962209405],[2407.53076171875 1549.107421875 2593.496337890625 1654.13232421875],0.4224078357219696,HU51KSU,0.13727277106614238
10,3.0,[736.5234008681307 1399.068298407029 1430.5200248398426 2031.7888224101835],[940.8497314453125 1783.7808837890625 1184.2467041015625 1906.2388916015625],0.37236371636390686,NA13MRU,0.28745016202940393
10,5.0,[2188.893643561466 1177.7803740994143 2792.9925122308705 1768.6962211889556],[2399.840576171875 1560.513427734375 2589.8583984375 1676.21923828125],0.29779165983200073,MU51YSU,0.591778889524833
12,3.0,[727.5475302302963 1404.116105235108 1422.2767361057745 2041.414904756302],[923.6552124023438 1789.4212646484375 1180.8648681640625 1916.1324462890625],0.475274920463562,NA13NRU,0.45530564845732874
13,3.0,[726.2982850263012 1404.262059554634 1420.7562310657208 2043.2459926539605],[923.5354614257812 1789.367431640625 1181.0076904296875 1916.1826171875],0.47356054186820984,NA13NRU,0.45530564845732874
14,3.0,[725.9480471127795 1407.0737967680834 1423.1740187544824 2052.190672810424],[917.013427734375 1791.76025390625 1184.07861328125 1922.54443359375],0.4268227219581604,NA13NRU,0.48403370700390486
15,3.0,[723.0792404773122 1408.5604616020921 1418.8182969347865 2053.383005369859],[916.0067138671875 1805.442626953125 1172.1142578125 1926.599853515625],0.35445648431777954,NA13MRU,0.2114407460213353
16,5.0,[2194.6944496879987 1188.5897144620023 2820.5691130396845 1785.2404974559352],[2418.364013671875 1574.8802490234375 2613.731201171875 1697.7161865234375],0.3141862750053406,MV51VSU,0.12600806010204196
21,3.0,[701.4767029374376 1426.5349355089177 1409.2054249555486 2075.595753436296],[888.308349609375 1825.1575927734375 1157.4913330078125 1953.0860595703125],0.509321928024292,NA13MRU,0.20282211822159624
