frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
238,1,2054.8076257192142 1155.4876550809972 2584.9992345491037 1613.542311861538,2197.965087890625 1415.9974365234375 2444.817626953125 1535.43310546875,0.2630040645599365,AP05JEO,0.4380054629648349
239,1,2054.576824302544 1157.3565881172005 2585.6925848934616 1616.0805793856705,2199.178093405331 1418.2964728860295 2445.698902803309 1537.6792997472426,0,0,0
240,1,2054.3460228858735 1159.2255211534039 2586.38593523782 1618.6188469098026,2200.3910989200367 1420.5955092486213 2446.5801786534926 1539.9254940257354,0,0,0
241,1,2054.1152214692033 1161.0944541896072 2587.079285582178 1621.157114433935,2201.6041044347426 1422.8945456112133 2447.4614545036766 1542.171688304228,0,0,0
242,1,2053.8844200525327 1162.9633872258105 2587.7726359265357 1623.6953819580672,2202.8171099494484 1425.193581973805 2448.34273035386 1544.4178825827205,0,0,0
243,1,2053.6536186358626 1164.8323202620138 2588.4659862708936 1626.2336494821996,2204.0301154641543 1427.492618336397 2449.224006204044 1546.6640768612133,0,0,0
244,1,2053.4228172191924 1166.7012532982171 2589.159336615252 1628.771917006332,2205.24312097886 1429.791654698989 2450.105282054228 1548.9102711397059,0,0,0
245,1,2053.192015802522 1168.5701863344204 2589.85268695961 1631.310184530464,2206.456126493566 1432.0906910615809 2450.9865579044117 1551.1564654181984,0,0,0
246,1,2052.9612143858517 1170.4391193706238 2590.5460373039678 1633.8484520545965,2207.669132008272 1434.3897274241729 2451.8678337545957 1553.4026596966912,0,0,0
247,1,2052.730412969181 1172.3080524068268 2591.239387648326 1636.3867195787286,2208.882137522978 1436.6887637867646 2452.7491096047793 1555.6488539751838,0,0,0
248,1,2052.499611552511 1174.1769854430302 2591.932737992684 1638.924987102861,2210.095143037684 1438.9878001493566 2453.6303854549633 1557.8950482536766,0,0,0
249,1,2052.2688101358403 1176.0459184792335 2592.626088337042 1641.4632546269931,2211.30814855239 1441.2868365119484 2454.511661305147 1560.1412425321691,0,0,0
250,1,2052.03800871917 1177.9148515154368 2593.3194386814002 1644.0015221511255,2212.5211540670957 1443.5858728745404 2455.392937155331 1562.3874368106617,0,0,0
251,1,2051.8072073025 1179.78378455164 2594.012789025758 1646.539789675258,2213.7341595818016 1445.8849092371324 2456.274213005515 1564.6336310891545,0,0,0
252,1,2051.5764058858294 1181.6527175878434 2594.706139370116 1649.07805719939,2214.9471650965074 1448.1839455997242 2457.1554888556984 1566.879825367647,0,0,0
253,1,2051.3456044691593 1183.5216506240467 2595.399489714474 1651.6163247235224,2216.1601706112133 1450.4829819623162 2458.0367647058824 1569.1260196461396,0,0,0
254,1,2051.1148030524887 1185.39058366025 2596.0928400588323 1654.1545922476546,2217.373176125919 1452.782018324908 2458.918040556066 1571.3722139246324,0,0,0
255,1,2050.8840016358185 1187.2595166964534 2596.78619040319 1656.692859771787,2218.586181640625 1455.0810546875 2459.79931640625 1573.618408203125,0.32997483015060425,AP05JEO,0.34716896586073903
256,1,2050.3873058238587 1189.0370459984536 2597.394326107702 1658.8101838740733,2219.5461948939733 1457.2015642438616 2461.1982945033483 1575.999032156808,0,0,0
257,1,2049.890610011899 1190.814575300454 2598.0024618122143 1660.9275079763595,2220.5062081473216 1459.3220738002233 2462.5972726004466 1578.3796561104912,0,0,0
258,1,2049.393914199939 1192.5921046024541 2598.6105975167266 1663.0448320786459,2221.46622140067 1461.442583356585 2463.996250697545 1580.7602800641741,0,0,0
259,1,2048.897218387979 1194.3696339044545 2599.2187332212384 1665.1621561809322,2222.4262346540177 1463.5630929129463 2465.3952287946427 1583.140904017857,0,0,0
260,1,2048.4005225760193 1196.1471632064547 2599.82686892575 1667.2794802832186,2223.386247907366 1465.683602469308 2466.794206891741 1585.52152797154,0,0,0
261,1,2047.9038267640594 1197.924692508455 2600.4350046302625 1669.3968043855048,2224.346261160714 1467.8041120256696 2468.193184988839 1587.9021519252233,0,0,0
262,1,2047.4071309520996 1199.7022218104553 2601.0431403347748 1671.5141284877911,2225.3062744140625 1469.9246215820312 2469.5921630859375 1590.2827758789062,0,0,0
263,1,2046.91043514014 1201.4797511124555 2601.6512760392866 1673.6314525900775,2226.266287667411 1472.045131138393 2470.991141183036 1592.6633998325892,0,0,0
264,1,2046.41373932818 1203.2572804144559 2602.2594117437984 1675.7487766923637,2227.226300920759 1474.1656406947545 2472.390119280134 1595.0440237862724,0,0,0
265,1,2045.9170435162202 1205.034809716456 2602.8675474483107 1677.86610079465,2228.1863141741073 1476.2861502511162 2473.7890973772323 1597.4246477399554,0,0,0
266,1,2045.4203477042604 1206.8123390184564 2603.475683152823 1679.9834248969364,2229.146327427455 1478.4066598074776 2475.18807547433 1599.8052716936384,0,0,0
267,1,2044.9236518923005 1208.5898683204566 2604.083818857335 1682.1007489992228,2230.1063406808034 1480.5271693638392 2476.5870535714284 1602.1858956473213,0,0,0
268,1,2044.4269560803407 1210.367397622457 2604.6919545618466 1684.218073101509,2231.0663539341517 1482.6476789202009 2477.9860316685267 1604.5665196010045,0,0,0
269,1,2043.9302602683808 1212.1449269244572 2605.300090266359 1686.3353972037953,2232.0263671875 1484.7681884765625 2479.385009765625 1606.9471435546875,0.4051550030708313,AP05JEO,0.1261202672791883
270,1,2044.7167946774057 1214.0025155672563 2606.939253939407 1689.0810318361173,2232.819513494318 1487.7450506036932 2478.776766690341 1609.1997736150568,0,0,0
271,1,2045.5033290864305 1215.8601042100556 2608.5784176124557 1691.8266664684393,2233.6126598011365 1490.7219127308238 2478.168523615057 1611.4524036754262,0,0,0
272,1,2046.2898634954554 1217.7176928528547 2610.217581285504 1694.5723011007615,2234.4058061079545 1493.6987748579545 2477.5602805397725 1613.7050337357955,0,0,0
273,1,2047.0763979044802 1219.5752814956538 2611.856744958552 1697.3179357330835,2235.1989524147725 1496.6756369850852 2476.9520374644885 1615.9576637961648,0,0,0
274,1,2047.862932313505 1221.432870138453 2613.4959086316003 1700.0635703654054,2235.992098721591 1499.652499112216 2476.3437943892045 1618.210293856534,0,0,0
